time,rate
0.0,1000.0
1.0,925.1121878225711
2.0,859.2826011135476
3.0,801.0379316049903
4.0,749.2003551191805
5.0,702.8180400401875
6.0,661.1142044861585
7.0,623.4492293855059
8.0,589.2921093538313
9.0,558.1986802479386
10.0,529.7948308721773
11.0,503.76342576837925
12.0,479.83402268714184
13.0,457.7747168245192
14.0,437.3856193740925
15.0,418.4936034054809
16.0,400.94804083566436
17.0,384.6173206248202
18.0,369.38598735246745
19.0,355.1523758891519
20.0,341.82664538688584
21.0,329.3291366832691
22.0,317.588993176236
23.0,306.5429975249841
24.0,296.13458607568316
